id,region,subregion,country,program_name,program_code,year,site_code,site_name,lat,lon,water_depth,sources,country_code
9001411,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.24.38.4E.17.20.9.4SL2S1,"Laonamoa and Worearu Location 2, Site 1",-17.33594444,168.4106667,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001412,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.24.38.4E.17.20.9.4SL2S2,"Laonamoa and Worearu Location 2, Site 2",-17.33594444,168.4106667,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001413,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.24.38.4E.17.20.9.4SL2S3,"Laonamoa and Worearu Location 2, Site 3",-17.33594444,168.4106667,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001414,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.24.38.4E.17.20.9.4SL2S4,"Laonamoa and Worearu Location 2, Site 4",-17.33594444,168.4106667,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001415,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.24.38.4E.17.20.9.4SL2S5,"Laonamoa and Worearu Location 2, Site 5",-17.33594444,168.4106667,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001416,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.28.46E.17.32.18S,Takara,-17.53633333,168.4743333,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001417,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2008,168.7.833E.15.22.649S,Asanvari North,-15.37747222,168.1305556,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001418,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2008,168.7.853E.15.22.637S,Asanvari,-15.37727778,168.1308889,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001419,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2008,168.8.287E.15.28.198S,Laone,-15.46997222,168.1381111,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001420,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.8.46.6E.17.38.28S,Hat Island- NW Coast,-17.64111111,168.1462778,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001421,Pacific,Southwest Pacific,Vanuatu,Reef Check,RC,2004,168.9.28.2E.17.38.21.6S,Hat Island- East Coast,-17.63933333,168.1578333,,"Reef Check Foundation, rcdata@reefcheck.org",VUT
9001422,Pacific,Micronesia,Marshall Islands,Reef Check,RC,2002,169.37.3.7E.6.2.57N,Ajejen 2,6.049166667,169.6176944,,"Reef Check Foundation, rcdata@reefcheck.org",MHL
9001423,Pacific,Micronesia,Marshall Islands,Reef Check,RC,2002,169.38.40.2E.6.2.34.6N,Ajejen,6.042944444,169.6445,,"Reef Check Foundation, rcdata@reefcheck.org",MHL
9001424,Pacific,Micronesia,Marshall Islands,Reef Check,RC,2002,169.38.47.2E.5.57.4.1N,Enijet Bar,5.951138889,169.6464444,,"Reef Check Foundation, rcdata@reefcheck.org",MHL
9001425,Americas,Mesoamerica,Honduras,Reef Check,RC,1997,16N86W1,Utila,16.08333333,-86.91666667,,"Reef Check Foundation, rcdata@reefcheck.org",HND
9001426,Americas,Mesoamerica,Belize,Reef Check,RC,1997,16N88W1,Carrie Bow Caye,16.80305556,-88.07888889,,"Reef Check Foundation, rcdata@reefcheck.org",BLZ
9001427,Australia,Australia and Papua New Guinea,Australia,Reef Check,RC,1997,16S145E1,Low Isles,-16.38277778,145.5641667,,"Reef Check Foundation, rcdata@reefcheck.org",AUS
9001428,Australia,Australia and Papua New Guinea,Australia,Reef Check,RC,1997,16S145E2,Phil's Bommie,-16.01555556,145.7908333,,"Reef Check Foundation, rcdata@reefcheck.org",AUS
9001429,Australia,Australia and Papua New Guinea,Australia,Reef Check,RC,1997,16S146E1,Moore Reef,-16.85083333,146.2380556,,"Reef Check Foundation, rcdata@reefcheck.org",AUS
9001430,Pacific,Southwest Pacific,Fiji,Reef Check,RC,1997,16S179E1,Buca Bay Channel Marker,-16.56944444,179.8563889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001431,Pacific,Southwest Pacific,Fiji,Reef Check,RC,1997,16S179E2,Mystery Reef,-16.18666667,179.2397222,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001432,Pacific,Southwest Pacific,Fiji,Reef Check,RC,1997,16S179E3,Vuna Reef,-16.98611111,179.8744444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001433,Pacific,Southwest Pacific,Fiji,Reef Check,RC,1997,16S179E4,Shark Alley,-16.33555556,179.3119444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001434,Pacific,Southeast and Central Pacific,Tonga,Reef Check,RC,2002,174.25.16.9W.19.50.16.2S,Kito si'I,-19.83783333,-174.4213611,,"Reef Check Foundation, rcdata@reefcheck.org",TON
9001435,Pacific,Southeast and Central Pacific,Tonga,Reef Check,RC,2002,175.09.767W.21.07.05S,Pangaimotu Reef Reserve (North),-21.1175,-175.1627778,,"Reef Check Foundation, rcdata@reefcheck.org",TON
9001436,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,176.51.34E.17.44.12S,RCA4,-17.73666667,176.8594444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001437,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,176.51.49E.17.44.17S,Runners Bay,-17.73805556,176.8636111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001438,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,176.52.14E.17.43.47S,RCA1,-17.72972222,176.8705556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001439,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,176.52.23E.17.43.53S,Castaway House Reef,-17.73138889,176.8730556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001440,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2006,177.0.90E.17.10.0S,Manta Ray East Beach Snorkel Site,-17.16666667,177.015,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001441,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",177.04.32E.17.40.37S,Supermarket,-17.67694444,177.0755556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001442,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.04.33E.17.34.32.8S,Ronnie's Bommies,-17.57577778,177.0758333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001443,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.05.43E.17.35.03S,Aanuya Reef Edge,-17.58383333,177.0905,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001444,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.05.6.4E.17.34.21.9S,Tokoriki Wall,-17.57275,177.0851111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001445,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.06.53E.17.43.66S,Castaway Pinnacles,-17.72766667,177.1088333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001446,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.07.16E.17.43.22S,Castaway Cut,-17.72277778,177.1211111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001447,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.07.26E.17.44.32S,Outer side of Inner Barrier,-17.74222222,177.1238889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001448,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.07.35E.17.44.00S,Castaway Resort House Reef,-17.73333333,177.1263889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001449,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.08.10E.17.44.22S,Runner's Beach,-17.73944444,177.1361111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001450,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.08.15E.17.44.23S,House Reef Raviniake,-17.73972222,177.1375,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001451,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.08.24E.17.44.12S,Castaway Wall,-17.73666667,177.14,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001452,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.08.25E.17.44.16S,House Reef Raviniake 2,-17.73777778,177.1402778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001453,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.08.28E.17.44.25S,M & M Reef,-17.7375,177.138,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001454,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",177.08.28E.17.45.35S,Outer Inner,-17.75972222,177.1411111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001455,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",177.08.30E.17.45.14S,Waidigi,-17.75388889,177.1416667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001456,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.08.57E.17.43.07S,Honeymoon,-17.71861111,177.1491667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001457,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.08.87E.17.44.41S,Likuliku 3,-17.74016667,177.1478333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001458,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.08.99E.17.44.24S,Likuliku 1,-17.73733333,177.1498333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001459,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.08.9E.17.44.24S,Likuliku 2,-17.73733333,177.1483333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001460,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.09.01E.17.44.04S,Nayauu Levu,-17.73444444,177.1502778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001461,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",177.09.49E.17.44.02S,Malolo,-17.73388889,177.1636111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001462,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2006,177.10.0E.17.40.70S,Sunflower Reef,-17.67833333,177.1666667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001463,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.10.30E.17.50.49S,"Magic, near Outer Barrier",-17.84694444,177.175,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001464,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.10.35E.17.50.59S,Wilkes Passage,-17.84972222,177.1763889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001465,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.10.52E.17.44.04S,Malolo 2,-17.73444444,177.1811111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001466,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.10.52E.17.44.0S,Malolo 2,-17.73333333,177.1811111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001467,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.10.54E.17.50.27S,Wilkes Passage,-17.83783333,177.1756667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001468,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.11.24E.17.50.43S,Malolo Barrier,-17.84527778,177.19,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001469,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.11.40E.17.45.39S,Malolo Lailai,-17.76083333,177.1944444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001470,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.11.41E.17.45.43E,Malolo Lailai,-17.76194444,177.1947222,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001471,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.11.45E.17.51.16S,Tavarua,-17.85444444,177.1958333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001472,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"200,320,042,007",177.12.08E.17.47.39S,Sunflower,-17.79416667,177.2022222,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001473,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.12.15.4E.17.48.6.5S,Plantation Pinnacles,-17.80180556,177.2042778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001474,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.13.33E.17.42.11S,Navini,-17.70305556,177.2258333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001475,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.15.06E.17.39.05S,Jacky's Reef,-17.65083333,177.251,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001476,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.15.07E.17.39.05S,Pleasure Point,-17.65083333,177.2511667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001477,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.16.04E.17.39.06S,Treasure Island,-17.65166667,177.2677778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001478,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.16.06E.18.03.43S,Likuri Pass North Wall,-18.05716667,177.2676667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001479,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.16.06E.18.03.90S,Likuri Pass South outer wall,-18.065,177.2676667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001480,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.16.32E.17.43.14S,Malamala,-17.72055556,177.2755556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001481,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.16.98E.16.56.218S,Tavewa Island,-16.93697222,177.283,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001482,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,072,008",177.18.505E.17.33.795S,Samu's Reef,-17.56325,177.3084167,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001483,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.18.911E.16.57.658S,Vawa,-16.96097222,177.3151944,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001484,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,062,007",177.19.199E.16.57.221S,Whiskey Reef (off western shore of Macatawa Levu Island),-16.95369444,177.3199722,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001485,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.20.21E.17.34.99S,Vuna Qiliqili,-17.58316667,177.3368333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001486,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.20.31E.17.35.02S,Vuna Qiliqili Reef,-17.58366667,177.3385,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001487,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.21.20E.17.32.34S,Nakubu Reef,-17.539,177.3533333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001488,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.21.24E.17.13.42S,Nakubu Reef site A,-17.52366667,177.354,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001489,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.21.46E.16.55.08S,Rocky Bay,-16.918,177.3576667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001490,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.22.81E.17.26.39S,Ovulavula Reef,-17.43983333,177.3801667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001491,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,062,007",177.23.125E.16.54.843S,Oarmans Bay,-16.91405556,177.3854167,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001492,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,062,007",177.23.236E.16.52.543S,Wonderland (off western shore of Nacula Island),-16.87572222,177.3872778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001493,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,177.24.96E.18.08.47S,Cavity Reef,-18.14116667,177.416,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001494,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,002,001",177.25.48.4E.18.9.33.4S,Golden Reef,-18.15927778,177.4301111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001495,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"200,620,072,008",177.35.81E.18.10.81S,"Tukituki, Vatukarasa Reef",-18.18016667,177.5968333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001496,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"200,620,072,008",177.36.09E.18.11.50S,Cowrie Crawl,-18.19166667,177.6015,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001497,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.4.54.8E.17.34.11.4S,Magic Mushrooms,-17.56983333,177.0818889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001498,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.40.50E.18.10.60S,Kingdom Hall,-18.17666667,177.675,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001499,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,072,008",177.41.5.8E.18.12.29.4S,The Edge,-18.20816667,177.6849444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001500,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,177.42.77E.18.13.22S,Morgan's Wall,-18.22033333,177.7128333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001501,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.7.17E.17.43.18S,Castaway Cut,-17.72166667,177.1213889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001502,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.7.24E.17.44.28S,Inner Barrier SW Qalito Island,-17.74111111,177.1233333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001503,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.7.35E.17.43.56S,Inner Barrier/Castaway Resort,-17.73222222,177.1263889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001504,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",177.7.47E.17.43.52S,North Castaway,-17.73111111,177.1297222,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001505,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.15E.17.44.19S,"House Reef, Raviniake",-17.73861111,177.1375,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001506,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.26E.17.44.8S,Castaway Wall,-17.73555556,177.1405556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001507,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.28E.17.45.35S,Fragle Rock,-17.75972222,177.1411111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001508,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,177.8.33E.17.39.40S,Angel's Reef,-17.65666667,177.1388333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001509,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.57E.17.43.2S,Honeymoon Island,-17.71722222,177.1491667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001510,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.7E.17.44.15S,Ravanaki House Reef,-17.7375,177.1352778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001511,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.8.87E.17.44.41S,Likuliku 4,-17.74016667,177.1478333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001512,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,177.9.2E.17.44.0S,Nayauu Levu,-17.73333333,177.1505556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001513,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,004",178.05.37E.18.24.47S,Lawaki Beach Resort House Reef South,-18.40783333,178.0895,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001514,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2007,178.08.98E.18.20.25S,"Sea Fan, Storm Island",-18.3375,178.1496667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001515,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2007,178.08.99E.18 21.67S,Clint's Corner,-18.36116667,178.1498333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001516,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2008,178.09099E.18.40896S,Lawaki Beach House,-18.40897222,178.091,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001517,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2002,178.11.91E.18.22.81S,Blue Wall,-18.38016667,178.1985,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001518,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.11.923E.17.16.757S,Ucuinaruru,-17.27927778,178.1987222,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001519,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.11.945E.17.16.978S,Nawawa East,-17.28297222,178.1990833,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001520,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.415E.17.17.201S,Nawawa West,-17.28669444,178.2069167,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001521,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.634E.17.17.353S,Nukutovutovu,-17.28922222,178.2105556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001522,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.637E.17.17.397S,Vunivesi,-17.28983333,178.2106111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001523,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.736E.17.16.854S,One Bay,-17.28088889,178.2122778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001524,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.807E.17.17.472S,Wainalovo West,-17.29119444,178.2134444,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001525,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.12.84E.17.17.395S,Wainalovo East,-17.28991667,178.214,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001526,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,032,005",178.12.97E.17.17.56S,Wainimaloro Bay/Safari Lodge Reef Slope,-17.29266667,178.2161667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001527,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.13.41E.17.17.22S,Lomanisue North,-17.287,178.2235,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001528,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.13.47E.17.17.6S,Lomanisue South,-17.29333333,178.2245,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001529,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.13.52E.17.16.6S,Kosova Point,-17.27666667,178.2253333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001530,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2004,178.13.61E.17.16.92S,Kosova Bay,-17.282,178.2268333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001531,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2006,178.14E.17.58S,Gau Anthias Avenue,-17.96666667,178.2333333,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001532,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.16.433E.16.50.346S,Pita's Passage,-16.83911111,178.2738889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001533,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.16.440E.16.49.749S,Shark Alley,-16.82913889,178.274,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001534,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.16.537E.16.48.443S,Naiyacayaca,-16.80738889,178.2756111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001535,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.17.633E.16.47.642S,Korovou,-16.79402778,178.2938889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001536,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.17.885E.16.50.452S,OJ's,-16.84086111,178.2980833,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001537,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.18.305E.16.50.310S,Pinnacle,-16.8385,178.3050833,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001538,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.18.517E.16.47.795S,Makamaka Point,-16.79658333,178.3086111,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001539,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.18.663E.16.50.382S,Manta Ray Point,-16.83969444,178.3110556,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001540,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,178.18.87E.16.49.74S,Lighthouse,-16.829,178.3145,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001541,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2001,178.19.18E.16.51.14S,Naivua Keraquma Reef,-16.85233333,178.3196667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001542,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.19.493E.16.48.007S,Denimanu,-16.80011667,178.3248889,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001543,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"20,022,003",178.19.666E.16.50.105S,Oberns Delight,-16.83508333,178.3277778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001544,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2007,178.20.146E.19.03.844S,Eagle Rock,-19.06405556,178.3357778,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001545,Pacific,Southwest Pacific,Fiji,Reef Check,RC,"200,520,062,008",178.20.308E.19.3.646S,Eagle Rock/Nacomoto Passage,-19.06077778,178.3384722,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001546,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2006,178.20.40E.19.0.20S,Vesi Bay,-19.00333333,178.34,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
9001547,Pacific,Southwest Pacific,Fiji,Reef Check,RC,2003,178.21.79E.18.08.80S,Muaivuso site 2,-18.14666667,178.3631667,,"Reef Check Foundation, rcdata@reefcheck.org",FJI
